name,code,year,CPI
Austria,AUT,2014,1.60581182954475
Austria,AUT,2015,0.896563335260335
Austria,AUT,2016,0.891591752655315
Austria,AUT,2017,2.08126911385585
Austria,AUT,2018,1.99837981429547
Austria,AUT,2019,1.53089564152644
Austria,AUT,2020,1.38191063351859
Austria,AUT,2021,2.7666666666667
Austria,AUT,2022,8.54686993188449
Austria,AUT,2023,7.81413417002833
Austria,AUT,2024,2.93791574279385
Belgium,BEL,2014,0.340002833356965
Belgium,BEL,2015,0.561429152790087
Belgium,BEL,2016,1.97385264653175
Belgium,BEL,2017,2.12597086002608
Belgium,BEL,2018,2.05316499865184
Belgium,BEL,2019,1.4368195699643
Belgium,BEL,2020,0.740791812220353
Belgium,BEL,2021,2.44024851144083
Belgium,BEL,2022,9.59751172872501
Belgium,BEL,2023,4.04901077613945
Belgium,BEL,2024,3.14349136500037
Switzerland,CHE,2014,-0.0132025387514989
Switzerland,CHE,2015,-1.14390867228183
Switzerland,CHE,2016,-0.434618664285838
Switzerland,CHE,2017,0.533787839825897
Switzerland,CHE,2018,0.936335464113563
Switzerland,CHE,2019,0.362886179940615
Switzerland,CHE,2020,-0.725874933313387
Switzerland,CHE,2021,0.581814168489858
Switzerland,CHE,2022,2.8350279864446
Switzerland,CHE,2023,2.13540088016377
Switzerland,CHE,2024,1.06234041976597
Germany,DEU,2014,0.906794000434214
Germany,DEU,2015,0.514426137125455
Germany,DEU,2016,0.491747008445213
Germany,DEU,2017,1.50949485109622
Germany,DEU,2018,1.73216879766948
Germany,DEU,2019,1.44565976888253
Germany,DEU,2020,0.144877925813963
Germany,DEU,2021,3.0666666666667
Germany,DEU,2022,6.87257438551096
Germany,DEU,2023,5.94643667725828
Germany,DEU,2024,2.25649814338757
Denmark,DNK,2014,0.564020540449519
Denmark,DNK,2015,0.452034153691592
Denmark,DNK,2016,0.25000000000002
Denmark,DNK,2017,1.14713216957606
Denmark,DNK,2018,0.813609467455621
Denmark,DNK,2019,0.758131572511616
Denmark,DNK,2020,0.420711974110097
Denmark,DNK,2021,1.85304543989681
Denmark,DNK,2022,7.69656699889264
Denmark,DNK,2023,3.30517811237605
Denmark,DNK,2024,1.37220049768919
Spain,ESP,2014,-0.151114837527205
Spain,ESP,2015,-0.50036570990325
Spain,ESP,2016,-0.20259800042646
Spain,ESP,2017,1.95607633363965
Spain,ESP,2018,1.67498136863794
Spain,ESP,2019,0.699518994458692
Spain,ESP,2020,-0.322753017299685
Spain,ESP,2021,3.09313511976412
Spain,ESP,2022,8.39057634118634
Spain,ESP,2023,3.53236133492429
Spain,ESP,2024,2.77417826534775
Finland,FIN,2014,1.04119621178439
Finland,FIN,2015,-0.207928839905252
Finland,FIN,2016,0.356684500891724
Finland,FIN,2017,0.754015047084353
Finland,FIN,2018,1.08382098409304
Finland,FIN,2019,1.02409392963425
Finland,FIN,2020,0.290554555653304
Finland,FIN,2021,2.19457432340004
Finland,FIN,2022,7.12350773301401
Finland,FIN,2023,6.25064322154762
Finland,FIN,2024,1.5656890623162
France,FRA,2014,0.507758822937963
France,FRA,2015,0.0375143805125298
France,FRA,2016,0.183334861123829
France,FRA,2017,1.03228275064667
France,FRA,2018,1.85081508315501
France,FRA,2019,1.10825492288292
France,FRA,2020,0.476498852725014
France,FRA,2021,1.64233141038393
France,FRA,2022,5.22236748369736
France,FRA,2023,4.87835726508438
France,FRA,2024,1.99904942291464
United Kingdom,GBR,2014,1.45112016293279
United Kingdom,GBR,2015,0.36804684232537
United Kingdom,GBR,2016,1.00841736811403
United Kingdom,GBR,2017,2.55775577557753
United Kingdom,GBR,2018,2.29283990345937
United Kingdom,GBR,2019,1.73810460086515
United Kingdom,GBR,2020,0.989486703772449
United Kingdom,GBR,2021,2.5183710961421
United Kingdom,GBR,2022,7.92204883147907
United Kingdom,GBR,2023,6.79396706793964
United Kingdom,GBR,2024,3.27157294635921
"Hong Kong SAR, China",HKG,2014,4.42364532019702
