name,code,year,GDP_growth
Norway,NOR,2014,2.04813200438943
Norway,NOR,2015,1.85733971623901
Norway,NOR,2016,1.16472423928819
Norway,NOR,2017,2.46374626574153
Norway,NOR,2018,0.828931500516902
Norway,NOR,2019,1.12374694968757
Norway,NOR,2020,-1.27817177234034
Norway,NOR,2021,3.90868676830634
Norway,NOR,2022,3.24622860260932
Norway,NOR,2023,0.0721204806030329
Norway,NOR,2024,2.10045327837291
Saudi Arabia,SAU,2014,4.02464070584527
Saudi Arabia,SAU,2015,4.65512316652699
Saudi Arabia,SAU,2016,1.70407465765956
Saudi Arabia,SAU,2017,1.18207993308526
Saudi Arabia,SAU,2018,3.2269508901591
Saudi Arabia,SAU,2019,1.65156358885577
Saudi Arabia,SAU,2020,-3.80476473038999
Saudi Arabia,SAU,2021,6.51959698325419
Saudi Arabia,SAU,2022,12.0005874752929
Saudi Arabia,SAU,2023,0.542592439393161
Saudi Arabia,SAU,2024,1.80795515147298
Singapore,SGP,2014,3.93554027709007
Singapore,SGP,2015,2.97679931634806
Singapore,SGP,2016,3.74757848792792
Singapore,SGP,2017,4.47689915845876
Singapore,SGP,2018,3.4519759658687
Singapore,SGP,2019,1.30804118153127
Singapore,SGP,2020,-3.81470885510713
Singapore,SGP,2021,9.7568044629903
Singapore,SGP,2022,4.10800021897151
Singapore,SGP,2023,1.82140694115385
Singapore,SGP,2024,4.38802362461865
Sweden,SWE,2014,2.29576379216599
Sweden,SWE,2015,4.41014068702994
Sweden,SWE,2016,2.34974080709026
Sweden,SWE,2017,1.8251560179849
Sweden,SWE,2018,1.90296457254834
Sweden,SWE,2019,2.54964787203104
Sweden,SWE,2020,-2.0053375219518
Sweden,SWE,2021,5.93750858896414
Sweden,SWE,2022,1.45928849980044
Sweden,SWE,2023,-0.114161935397789
Sweden,SWE,2024,0.973832212948594
