id,quarter,gdp_growth
HK,2015 Q1,2.38778339545998
HK,2015 Q2,2.38778339545998
HK,2015 Q3,2.38778339545998
HK,2015 Q4,2.38778339545998
HK,2016 Q1,2.17543692765861
HK,2016 Q2,2.17543692765861
HK,2016 Q3,2.17543692765861
HK,2016 Q4,2.17543692765861
HK,2017 Q1,3.79611358119647
HK,2017 Q2,3.79611358119647
HK,2017 Q3,3.79611358119647
HK,2017 Q4,3.79611358119647
HK,2018 Q1,2.84693457597662
HK,2018 Q2,2.84693457597662
HK,2018 Q3,2.84693457597662
HK,2018 Q4,2.84693457597662
HK,2019 Q1,-1.67239516545338
HK,2019 Q2,-1.67239516545338
HK,2019 Q3,-1.67239516545338
HK,2019 Q4,-1.67239516545338
HK,2020 Q1,-6.54478320166854
HK,2020 Q2,-6.54478320166854
HK,2020 Q3,-6.54478320166854
HK,2020 Q4,-6.54478320166854
HK,2021 Q1,6.4544247325683
HK,2021 Q2,6.4544247325683
HK,2021 Q3,6.4544247325683
HK,2021 Q4,6.4544247325683
HK,2022 Q1,-3.68375141698573
HK,2022 Q2,-3.68375141698573
HK,2022 Q3,-3.68375141698573
HK,2022 Q4,-3.68375141698573
HK,2023 Q1,3.21448901714471
HK,2023 Q2,3.21448901714471
HK,2023 Q3,3.21448901714471
HK,2023 Q4,3.21448901714471
HK,2024 Q1,2.5411975388228
HK,2024 Q2,2.5411975388228
HK,2024 Q3,2.5411975388228
HK,2024 Q4,2.5411975388228
IE,2015 Q1,24.6155698980205
IE,2015 Q2,24.6155698980205
IE,2015 Q3,24.6155698980205
IE,2015 Q4,24.6155698980205
IE,2016 Q1,1.2226384923421
IE,2016 Q2,1.2226384923421
IE,2016 Q3,1.2226384923421
IE,2016 Q4,1.2226384923421
IE,2017 Q1,10.0496284821662
IE,2017 Q2,10.0496284821662
IE,2017 Q3,10.0496284821662
IE,2017 Q4,10.0496284821662
IE,2018 Q1,7.5443421414267
IE,2018 Q2,7.5443421414267
IE,2018 Q3,7.5443421414267
IE,2018 Q4,7.5443421414267
IE,2019 Q1,5.04054996161159
IE,2019 Q2,5.04054996161159
IE,2019 Q3,5.04054996161159
IE,2019 Q4,5.04054996161159
IE,2020 Q1,7.1578988000836
IE,2020 Q2,7.1578988000836
IE,2020 Q3,7.1578988000836
IE,2020 Q4,7.1578988000836
IE,2021 Q1,16.2556135233358
IE,2021 Q2,16.2556135233358
IE,2021 Q3,16.2556135233358
IE,2021 Q4,16.2556135233358
IE,2022 Q1,8.61950345618772
IE,2022 Q2,8.61950345618772
IE,2022 Q3,8.61950345618772
IE,2022 Q4,8.61950345618772
IE,2023 Q1,-5.5300073886596
IE,2023 Q2,-5.5300073886596
IE,2023 Q3,-5.5300073886596
IE,2023 Q4,-5.5300073886596
IE,2024 Q1,1.22133429898928
IE,2024 Q2,1.22133429898928
IE,2024 Q3,1.22133429898928
IE,2024 Q4,1.22133429898928
LU,2015 Q1,2.26978423302835
LU,2015 Q2,2.26978423302835
LU,2015 Q3,2.26978423302835
LU,2015 Q4,2.26978423302835
LU,2016 Q1,4.97819011520116
LU,2016 Q2,4.97819011520116
LU,2016 Q3,4.97819011520116
LU,2016 Q4,4.97819011520116
LU,2017 Q1,1.31718713754285
LU,2017 Q2,1.31718713754285
LU,2017 Q3,1.31718713754285
LU,2017 Q4,1.31718713754285
LU,2018 Q1,1.61129561338169
LU,2018 Q2,1.61129561338169
